group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,rug,2,,,989441.0,ns,36376
Integer-mul,rug,2,,,1998153.0,ns,72752
Integer-mul,rug,2,,,2998275.0,ns,109128
Integer-mul,rug,2,,,3950308.0,ns,145504
Integer-mul,rug,2,,,5426251.0,ns,181880
Integer-mul,rug,2,,,5976336.0,ns,218256
Integer-mul,rug,2,,,7471484.0,ns,254632
Integer-mul,rug,2,,,7863937.0,ns,291008
Integer-mul,rug,2,,,8996122.0,ns,327384
Integer-mul,rug,2,,,10051686.0,ns,363760
Integer-mul,rug,2,,,10725393.0,ns,400136
Integer-mul,rug,2,,,11999903.0,ns,436512
Integer-mul,rug,2,,,12956450.0,ns,472888
Integer-mul,rug,2,,,13758935.0,ns,509264
Integer-mul,rug,2,,,14757040.0,ns,545640
Integer-mul,rug,2,,,16027602.0,ns,582016
Integer-mul,rug,2,,,16533000.0,ns,618392
Integer-mul,rug,2,,,17940462.0,ns,654768
Integer-mul,rug,2,,,18653451.0,ns,691144
Integer-mul,rug,2,,,19751627.0,ns,727520
Integer-mul,rug,2,,,21075806.0,ns,763896
Integer-mul,rug,2,,,22058800.0,ns,800272
Integer-mul,rug,2,,,22501019.0,ns,836648
Integer-mul,rug,2,,,23488966.0,ns,873024
Integer-mul,rug,2,,,24547799.0,ns,909400
Integer-mul,rug,2,,,25758785.0,ns,945776
Integer-mul,rug,2,,,26491034.0,ns,982152
Integer-mul,rug,2,,,28153646.0,ns,1018528
Integer-mul,rug,2,,,28551485.0,ns,1054904
Integer-mul,rug,2,,,29612064.0,ns,1091280
Integer-mul,rug,2,,,30494026.0,ns,1127656
Integer-mul,rug,2,,,31305109.0,ns,1164032
Integer-mul,rug,2,,,33039725.0,ns,1200408
Integer-mul,rug,2,,,33236227.0,ns,1236784
Integer-mul,rug,2,,,34764994.0,ns,1273160
Integer-mul,rug,2,,,35536037.0,ns,1309536
Integer-mul,rug,2,,,36210792.0,ns,1345912
Integer-mul,rug,2,,,37360121.0,ns,1382288
Integer-mul,rug,2,,,38518580.0,ns,1418664
Integer-mul,rug,2,,,39408863.0,ns,1455040
Integer-mul,rug,2,,,40355234.0,ns,1491416
Integer-mul,rug,2,,,41388595.0,ns,1527792
Integer-mul,rug,2,,,42283787.0,ns,1564168
Integer-mul,rug,2,,,43169106.0,ns,1600544
Integer-mul,rug,2,,,44352945.0,ns,1636920
Integer-mul,rug,2,,,45045685.0,ns,1673296
Integer-mul,rug,2,,,46210167.0,ns,1709672
Integer-mul,rug,2,,,47245976.0,ns,1746048
Integer-mul,rug,2,,,47994120.0,ns,1782424
Integer-mul,rug,2,,,48777652.0,ns,1818800
Integer-mul,rug,2,,,50530312.0,ns,1855176
Integer-mul,rug,2,,,50921945.0,ns,1891552
Integer-mul,rug,2,,,51979955.0,ns,1927928
Integer-mul,rug,2,,,53149978.0,ns,1964304
Integer-mul,rug,2,,,54274972.0,ns,2000680
Integer-mul,rug,2,,,54924157.0,ns,2037056
Integer-mul,rug,2,,,55843683.0,ns,2073432
Integer-mul,rug,2,,,56939115.0,ns,2109808
Integer-mul,rug,2,,,57735828.0,ns,2146184
Integer-mul,rug,2,,,59008437.0,ns,2182560
Integer-mul,rug,2,,,59738866.0,ns,2218936
Integer-mul,rug,2,,,60959601.0,ns,2255312
Integer-mul,rug,2,,,61673984.0,ns,2291688
Integer-mul,rug,2,,,62715858.0,ns,2328064
Integer-mul,rug,2,,,63598530.0,ns,2364440
Integer-mul,rug,2,,,64443962.0,ns,2400816
Integer-mul,rug,2,,,65061537.0,ns,2437192
Integer-mul,rug,2,,,66538504.0,ns,2473568
Integer-mul,rug,2,,,67385047.0,ns,2509944
Integer-mul,rug,2,,,68676282.0,ns,2546320
Integer-mul,rug,2,,,69130773.0,ns,2582696
Integer-mul,rug,2,,,70688253.0,ns,2619072
Integer-mul,rug,2,,,71282299.0,ns,2655448
Integer-mul,rug,2,,,72394451.0,ns,2691824
Integer-mul,rug,2,,,73545106.0,ns,2728200
Integer-mul,rug,2,,,73790671.0,ns,2764576
Integer-mul,rug,2,,,75313241.0,ns,2800952
Integer-mul,rug,2,,,76242734.0,ns,2837328
Integer-mul,rug,2,,,77525820.0,ns,2873704
Integer-mul,rug,2,,,78567404.0,ns,2910080
Integer-mul,rug,2,,,78871204.0,ns,2946456
Integer-mul,rug,2,,,80490011.0,ns,2982832
Integer-mul,rug,2,,,80961100.0,ns,3019208
Integer-mul,rug,2,,,82034920.0,ns,3055584
Integer-mul,rug,2,,,82784259.0,ns,3091960
Integer-mul,rug,2,,,84108927.0,ns,3128336
Integer-mul,rug,2,,,84980476.0,ns,3164712
Integer-mul,rug,2,,,85830042.0,ns,3201088
Integer-mul,rug,2,,,86524710.0,ns,3237464
Integer-mul,rug,2,,,87272246.0,ns,3273840
Integer-mul,rug,2,,,88903947.0,ns,3310216
Integer-mul,rug,2,,,89304860.0,ns,3346592
Integer-mul,rug,2,,,91272373.0,ns,3382968
Integer-mul,rug,2,,,91367055.0,ns,3419344
Integer-mul,rug,2,,,93909789.0,ns,3455720
Integer-mul,rug,2,,,93289248.0,ns,3492096
Integer-mul,rug,2,,,94125664.0,ns,3528472
Integer-mul,rug,2,,,95285697.0,ns,3564848
Integer-mul,rug,2,,,96064136.0,ns,3601224
Integer-mul,rug,2,,,97416600.0,ns,3637600
