group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,rug,4,,,957210.0,ns,34174
Integer-mul,rug,4,,,1928676.0,ns,68348
Integer-mul,rug,4,,,2846219.0,ns,102522
Integer-mul,rug,4,,,4126842.0,ns,136696
Integer-mul,rug,4,,,5403041.0,ns,170870
Integer-mul,rug,4,,,6119604.0,ns,205044
Integer-mul,rug,4,,,7519817.0,ns,239218
Integer-mul,rug,4,,,8014929.0,ns,273392
Integer-mul,rug,4,,,8981694.0,ns,307566
Integer-mul,rug,4,,,9803729.0,ns,341740
Integer-mul,rug,4,,,10918653.0,ns,375914
Integer-mul,rug,4,,,11637753.0,ns,410088
Integer-mul,rug,4,,,12862745.0,ns,444262
Integer-mul,rug,4,,,13921409.0,ns,478436
Integer-mul,rug,4,,,14754183.0,ns,512610
Integer-mul,rug,4,,,16017675.0,ns,546784
Integer-mul,rug,4,,,16723986.0,ns,580958
Integer-mul,rug,4,,,18105752.0,ns,615132
Integer-mul,rug,4,,,18819203.0,ns,649306
Integer-mul,rug,4,,,19584905.0,ns,683480
Integer-mul,rug,4,,,20616579.0,ns,717654
Integer-mul,rug,4,,,21608878.0,ns,751828
Integer-mul,rug,4,,,22873680.0,ns,786002
Integer-mul,rug,4,,,23770024.0,ns,820176
Integer-mul,rug,4,,,24637340.0,ns,854350
Integer-mul,rug,4,,,25458250.0,ns,888524
Integer-mul,rug,4,,,26688481.0,ns,922698
Integer-mul,rug,4,,,27727187.0,ns,956872
Integer-mul,rug,4,,,28752569.0,ns,991046
Integer-mul,rug,4,,,29141885.0,ns,1025220
Integer-mul,rug,4,,,30482548.0,ns,1059394
Integer-mul,rug,4,,,31484137.0,ns,1093568
Integer-mul,rug,4,,,32466794.0,ns,1127742
Integer-mul,rug,4,,,33396498.0,ns,1161916
Integer-mul,rug,4,,,34567648.0,ns,1196090
Integer-mul,rug,4,,,35602755.0,ns,1230264
Integer-mul,rug,4,,,39123113.0,ns,1264438
Integer-mul,rug,4,,,48077328.0,ns,1298612
Integer-mul,rug,4,,,46980798.0,ns,1332786
Integer-mul,rug,4,,,47850738.0,ns,1366960
Integer-mul,rug,4,,,41436665.0,ns,1401134
Integer-mul,rug,4,,,42969080.0,ns,1435308
Integer-mul,rug,4,,,42915684.0,ns,1469482
Integer-mul,rug,4,,,44171038.0,ns,1503656
Integer-mul,rug,4,,,44700385.0,ns,1537830
Integer-mul,rug,4,,,46049529.0,ns,1572004
Integer-mul,rug,4,,,46605607.0,ns,1606178
Integer-mul,rug,4,,,47801094.0,ns,1640352
Integer-mul,rug,4,,,49412318.0,ns,1674526
Integer-mul,rug,4,,,50192117.0,ns,1708700
Integer-mul,rug,4,,,49947345.0,ns,1742874
Integer-mul,rug,4,,,52363539.0,ns,1777048
Integer-mul,rug,4,,,52606700.0,ns,1811222
Integer-mul,rug,4,,,54657974.0,ns,1845396
Integer-mul,rug,4,,,54490894.0,ns,1879570
Integer-mul,rug,4,,,55142843.0,ns,1913744
Integer-mul,rug,4,,,57065549.0,ns,1947918
Integer-mul,rug,4,,,58975365.0,ns,1982092
Integer-mul,rug,4,,,59862100.0,ns,2016266
Integer-mul,rug,4,,,59214247.0,ns,2050440
Integer-mul,rug,4,,,60283213.0,ns,2084614
Integer-mul,rug,4,,,61160695.0,ns,2118788
Integer-mul,rug,4,,,62255611.0,ns,2152962
Integer-mul,rug,4,,,62968705.0,ns,2187136
Integer-mul,rug,4,,,64371359.0,ns,2221310
Integer-mul,rug,4,,,65338884.0,ns,2255484
Integer-mul,rug,4,,,66067620.0,ns,2289658
Integer-mul,rug,4,,,67023930.0,ns,2323832
Integer-mul,rug,4,,,68290087.0,ns,2358006
Integer-mul,rug,4,,,69271474.0,ns,2392180
Integer-mul,rug,4,,,69884277.0,ns,2426354
Integer-mul,rug,4,,,70875140.0,ns,2460528
Integer-mul,rug,4,,,71818847.0,ns,2494702
Integer-mul,rug,4,,,74140610.0,ns,2528876
Integer-mul,rug,4,,,74990834.0,ns,2563050
Integer-mul,rug,4,,,75649974.0,ns,2597224
Integer-mul,rug,4,,,76422022.0,ns,2631398
Integer-mul,rug,4,,,76917609.0,ns,2665572
Integer-mul,rug,4,,,79366242.0,ns,2699746
Integer-mul,rug,4,,,79467485.0,ns,2733920
Integer-mul,rug,4,,,81345103.0,ns,2768094
Integer-mul,rug,4,,,81708989.0,ns,2802268
Integer-mul,rug,4,,,82133599.0,ns,2836442
Integer-mul,rug,4,,,84854633.0,ns,2870616
Integer-mul,rug,4,,,86550927.0,ns,2904790
Integer-mul,rug,4,,,85089057.0,ns,2938964
Integer-mul,rug,4,,,86149674.0,ns,2973138
Integer-mul,rug,4,,,88909349.0,ns,3007312
Integer-mul,rug,4,,,87638868.0,ns,3041486
Integer-mul,rug,4,,,88722042.0,ns,3075660
Integer-mul,rug,4,,,89640870.0,ns,3109834
Integer-mul,rug,4,,,90363798.0,ns,3144008
Integer-mul,rug,4,,,92065292.0,ns,3178182
Integer-mul,rug,4,,,94290894.0,ns,3212356
Integer-mul,rug,4,,,98030265.0,ns,3246530
Integer-mul,rug,4,,,96467634.0,ns,3280704
Integer-mul,rug,4,,,97411296.0,ns,3314878
Integer-mul,rug,4,,,98324533.0,ns,3349052
Integer-mul,rug,4,,,97905327.0,ns,3383226
Integer-mul,rug,4,,,100815547.0,ns,3417400
