group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,inertia,1,,,1008417.0,ns,57662
Integer-mul,inertia,1,,,1911745.0,ns,115324
Integer-mul,inertia,1,,,2953740.0,ns,172986
Integer-mul,inertia,1,,,3932351.0,ns,230648
Integer-mul,inertia,1,,,5489574.0,ns,288310
Integer-mul,inertia,1,,,5747829.0,ns,345972
Integer-mul,inertia,1,,,7276636.0,ns,403634
Integer-mul,inertia,1,,,8241557.0,ns,461296
Integer-mul,inertia,1,,,8931116.0,ns,518958
Integer-mul,inertia,1,,,9961036.0,ns,576620
Integer-mul,inertia,1,,,10784526.0,ns,634282
Integer-mul,inertia,1,,,11971704.0,ns,691944
Integer-mul,inertia,1,,,13166181.0,ns,749606
Integer-mul,inertia,1,,,13639570.0,ns,807268
Integer-mul,inertia,1,,,15319846.0,ns,864930
Integer-mul,inertia,1,,,15352036.0,ns,922592
Integer-mul,inertia,1,,,17204747.0,ns,980254
Integer-mul,inertia,1,,,17974856.0,ns,1037916
Integer-mul,inertia,1,,,18623876.0,ns,1095578
Integer-mul,inertia,1,,,19703999.0,ns,1153240
Integer-mul,inertia,1,,,20836432.0,ns,1210902
Integer-mul,inertia,1,,,22002150.0,ns,1268564
Integer-mul,inertia,1,,,22809865.0,ns,1326226
Integer-mul,inertia,1,,,23443035.0,ns,1383888
Integer-mul,inertia,1,,,24914910.0,ns,1441550
Integer-mul,inertia,1,,,29203809.0,ns,1499212
Integer-mul,inertia,1,,,26540006.0,ns,1556874
Integer-mul,inertia,1,,,27707307.0,ns,1614536
Integer-mul,inertia,1,,,28687727.0,ns,1672198
Integer-mul,inertia,1,,,29570365.0,ns,1729860
Integer-mul,inertia,1,,,30767253.0,ns,1787522
Integer-mul,inertia,1,,,31612735.0,ns,1845184
Integer-mul,inertia,1,,,32444361.0,ns,1902846
Integer-mul,inertia,1,,,33712990.0,ns,1960508
Integer-mul,inertia,1,,,34341530.0,ns,2018170
Integer-mul,inertia,1,,,36267977.0,ns,2075832
Integer-mul,inertia,1,,,36645092.0,ns,2133494
Integer-mul,inertia,1,,,37793760.0,ns,2191156
Integer-mul,inertia,1,,,38585918.0,ns,2248818
Integer-mul,inertia,1,,,39954602.0,ns,2306480
Integer-mul,inertia,1,,,40715322.0,ns,2364142
Integer-mul,inertia,1,,,41502610.0,ns,2421804
Integer-mul,inertia,1,,,42405953.0,ns,2479466
