group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,num,4,,,1129053.0,ns,16174
Integer-mul,num,4,,,2014849.0,ns,32348
Integer-mul,num,4,,,3525805.0,ns,48522
Integer-mul,num,4,,,4169702.0,ns,64696
Integer-mul,num,4,,,5717308.0,ns,80870
Integer-mul,num,4,,,6245469.0,ns,97044
Integer-mul,num,4,,,8226901.0,ns,113218
Integer-mul,num,4,,,8725533.0,ns,129392
Integer-mul,num,4,,,9675905.0,ns,145566
Integer-mul,num,4,,,10438588.0,ns,161740
Integer-mul,num,4,,,11867235.0,ns,177914
Integer-mul,num,4,,,13282677.0,ns,194088
Integer-mul,num,4,,,14195183.0,ns,210262
Integer-mul,num,4,,,15101986.0,ns,226436
Integer-mul,num,4,,,16485781.0,ns,242610
Integer-mul,num,4,,,17487073.0,ns,258784
Integer-mul,num,4,,,18442576.0,ns,274958
Integer-mul,num,4,,,20352689.0,ns,291132
Integer-mul,num,4,,,20302564.0,ns,307306
Integer-mul,num,4,,,21369054.0,ns,323480
Integer-mul,num,4,,,23030464.0,ns,339654
Integer-mul,num,4,,,23721293.0,ns,355828
Integer-mul,num,4,,,25170709.0,ns,372002
Integer-mul,num,4,,,26230253.0,ns,388176
Integer-mul,num,4,,,27316467.0,ns,404350
Integer-mul,num,4,,,28374681.0,ns,420524
Integer-mul,num,4,,,29533756.0,ns,436698
Integer-mul,num,4,,,29441624.0,ns,452872
Integer-mul,num,4,,,29698742.0,ns,469046
Integer-mul,num,4,,,31299108.0,ns,485220
Integer-mul,num,4,,,31999594.0,ns,501394
Integer-mul,num,4,,,33499107.0,ns,517568
Integer-mul,num,4,,,34457117.0,ns,533742
Integer-mul,num,4,,,34933061.0,ns,549916
Integer-mul,num,4,,,36035595.0,ns,566090
Integer-mul,num,4,,,37583032.0,ns,582264
Integer-mul,num,4,,,38884342.0,ns,598438
Integer-mul,num,4,,,39230119.0,ns,614612
Integer-mul,num,4,,,40290549.0,ns,630786
Integer-mul,num,4,,,41088974.0,ns,646960
Integer-mul,num,4,,,42675828.0,ns,663134
Integer-mul,num,4,,,43669418.0,ns,679308
Integer-mul,num,4,,,44656641.0,ns,695482
Integer-mul,num,4,,,47157628.0,ns,711656
Integer-mul,num,4,,,47069684.0,ns,727830
Integer-mul,num,4,,,48350988.0,ns,744004
Integer-mul,num,4,,,49654361.0,ns,760178
Integer-mul,num,4,,,49667594.0,ns,776352
Integer-mul,num,4,,,52392701.0,ns,792526
Integer-mul,num,4,,,51680156.0,ns,808700
Integer-mul,num,4,,,52584449.0,ns,824874
Integer-mul,num,4,,,53971849.0,ns,841048
Integer-mul,num,4,,,55329124.0,ns,857222
Integer-mul,num,4,,,56596448.0,ns,873396
Integer-mul,num,4,,,57793115.0,ns,889570
Integer-mul,num,4,,,58769722.0,ns,905744
Integer-mul,num,4,,,60742951.0,ns,921918
Integer-mul,num,4,,,60798594.0,ns,938092
Integer-mul,num,4,,,62449429.0,ns,954266
Integer-mul,num,4,,,62580283.0,ns,970440
Integer-mul,num,4,,,63289916.0,ns,986614
Integer-mul,num,4,,,66039056.0,ns,1002788
Integer-mul,num,4,,,65019553.0,ns,1018962
Integer-mul,num,4,,,66710801.0,ns,1035136
Integer-mul,num,4,,,67122076.0,ns,1051310
Integer-mul,num,4,,,69324141.0,ns,1067484
Integer-mul,num,4,,,70375780.0,ns,1083658
Integer-mul,num,4,,,70923677.0,ns,1099832
Integer-mul,num,4,,,71972841.0,ns,1116006
Integer-mul,num,4,,,74207186.0,ns,1132180
Integer-mul,num,4,,,74610001.0,ns,1148354
Integer-mul,num,4,,,76137646.0,ns,1164528
Integer-mul,num,4,,,77224440.0,ns,1180702
Integer-mul,num,4,,,77839194.0,ns,1196876
Integer-mul,num,4,,,78051556.0,ns,1213050
Integer-mul,num,4,,,82161716.0,ns,1229224
Integer-mul,num,4,,,81227767.0,ns,1245398
Integer-mul,num,4,,,83040734.0,ns,1261572
Integer-mul,num,4,,,82190273.0,ns,1277746
Integer-mul,num,4,,,82870424.0,ns,1293920
Integer-mul,num,4,,,83516135.0,ns,1310094
Integer-mul,num,4,,,86070867.0,ns,1326268
Integer-mul,num,4,,,87500506.0,ns,1342442
Integer-mul,num,4,,,90463140.0,ns,1358616
Integer-mul,num,4,,,90376791.0,ns,1374790
Integer-mul,num,4,,,89595954.0,ns,1390964
Integer-mul,num,4,,,91825660.0,ns,1407138
Integer-mul,num,4,,,93058268.0,ns,1423312
Integer-mul,num,4,,,93741225.0,ns,1439486
Integer-mul,num,4,,,94941562.0,ns,1455660
Integer-mul,num,4,,,94965582.0,ns,1471834
Integer-mul,num,4,,,96701224.0,ns,1488008
Integer-mul,num,4,,,99035505.0,ns,1504182
Integer-mul,num,4,,,99155233.0,ns,1520356
Integer-mul,num,4,,,99502334.0,ns,1536530
Integer-mul,num,4,,,99522555.0,ns,1552704
Integer-mul,num,4,,,100963033.0,ns,1568878
Integer-mul,num,4,,,102343261.0,ns,1585052
Integer-mul,num,4,,,103749691.0,ns,1601226
Integer-mul,num,4,,,103981341.0,ns,1617400
