group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,num,1,,,960604.0,ns,20791
Integer-mul,num,1,,,1969813.0,ns,41582
Integer-mul,num,1,,,2990962.0,ns,62373
Integer-mul,num,1,,,3964058.0,ns,83164
Integer-mul,num,1,,,5094244.0,ns,103955
Integer-mul,num,1,,,6034873.0,ns,124746
Integer-mul,num,1,,,7017838.0,ns,145537
Integer-mul,num,1,,,7993974.0,ns,166328
Integer-mul,num,1,,,9054965.0,ns,187119
Integer-mul,num,1,,,9656514.0,ns,207910
Integer-mul,num,1,,,10870003.0,ns,228701
Integer-mul,num,1,,,11896920.0,ns,249492
Integer-mul,num,1,,,12457330.0,ns,270283
Integer-mul,num,1,,,13736963.0,ns,291074
Integer-mul,num,1,,,14503311.0,ns,311865
Integer-mul,num,1,,,15678140.0,ns,332656
Integer-mul,num,1,,,16543238.0,ns,353447
Integer-mul,num,1,,,17597064.0,ns,374238
Integer-mul,num,1,,,18955753.0,ns,395029
Integer-mul,num,1,,,19686472.0,ns,415820
Integer-mul,num,1,,,20567251.0,ns,436611
Integer-mul,num,1,,,21781298.0,ns,457402
Integer-mul,num,1,,,22670587.0,ns,478193
Integer-mul,num,1,,,23555003.0,ns,498984
Integer-mul,num,1,,,24669574.0,ns,519775
Integer-mul,num,1,,,25647500.0,ns,540566
Integer-mul,num,1,,,26453114.0,ns,561357
Integer-mul,num,1,,,27325517.0,ns,582148
Integer-mul,num,1,,,28400295.0,ns,602939
Integer-mul,num,1,,,29348553.0,ns,623730
Integer-mul,num,1,,,30413436.0,ns,644521
Integer-mul,num,1,,,31175819.0,ns,665312
Integer-mul,num,1,,,32272469.0,ns,686103
Integer-mul,num,1,,,33380563.0,ns,706894
Integer-mul,num,1,,,35104626.0,ns,727685
Integer-mul,num,1,,,35674393.0,ns,748476
Integer-mul,num,1,,,36043775.0,ns,769267
Integer-mul,num,1,,,37172688.0,ns,790058
Integer-mul,num,1,,,38020370.0,ns,810849
Integer-mul,num,1,,,38902988.0,ns,831640
Integer-mul,num,1,,,39702706.0,ns,852431
Integer-mul,num,1,,,40594203.0,ns,873222
Integer-mul,num,1,,,42811829.0,ns,894013
Integer-mul,num,1,,,43171550.0,ns,914804
Integer-mul,num,1,,,43939403.0,ns,935595
Integer-mul,num,1,,,45038081.0,ns,956386
Integer-mul,num,1,,,45703298.0,ns,977177
Integer-mul,num,1,,,46678227.0,ns,997968
Integer-mul,num,1,,,47696010.0,ns,1018759
Integer-mul,num,1,,,48406829.0,ns,1039550
Integer-mul,num,1,,,49991234.0,ns,1060341
Integer-mul,num,1,,,50264065.0,ns,1081132
Integer-mul,num,1,,,51733161.0,ns,1101923
Integer-mul,num,1,,,52561781.0,ns,1122714
Integer-mul,num,1,,,53665691.0,ns,1143505
Integer-mul,num,1,,,54880716.0,ns,1164296
Integer-mul,num,1,,,55522153.0,ns,1185087
Integer-mul,num,1,,,56130480.0,ns,1205878
Integer-mul,num,1,,,57342089.0,ns,1226669
Integer-mul,num,1,,,58562919.0,ns,1247460
Integer-mul,num,1,,,58891765.0,ns,1268251
Integer-mul,num,1,,,60556896.0,ns,1289042
Integer-mul,num,1,,,61273284.0,ns,1309833
Integer-mul,num,1,,,62219845.0,ns,1330624
Integer-mul,num,1,,,63317242.0,ns,1351415
Integer-mul,num,1,,,64238738.0,ns,1372206
Integer-mul,num,1,,,65331339.0,ns,1392997
Integer-mul,num,1,,,66080765.0,ns,1413788
Integer-mul,num,1,,,66939864.0,ns,1434579
Integer-mul,num,1,,,68318750.0,ns,1455370
Integer-mul,num,1,,,69038069.0,ns,1476161
Integer-mul,num,1,,,70274422.0,ns,1496952
Integer-mul,num,1,,,70936211.0,ns,1517743
Integer-mul,num,1,,,71976437.0,ns,1538534
Integer-mul,num,1,,,72695340.0,ns,1559325
Integer-mul,num,1,,,73927331.0,ns,1580116
Integer-mul,num,1,,,74506260.0,ns,1600907
Integer-mul,num,1,,,75295499.0,ns,1621698
Integer-mul,num,1,,,76787382.0,ns,1642489
Integer-mul,num,1,,,77582655.0,ns,1663280
Integer-mul,num,1,,,78619615.0,ns,1684071
Integer-mul,num,1,,,79159731.0,ns,1704862
Integer-mul,num,1,,,79624674.0,ns,1725653
Integer-mul,num,1,,,81169595.0,ns,1746444
Integer-mul,num,1,,,82148906.0,ns,1767235
Integer-mul,num,1,,,82761887.0,ns,1788026
Integer-mul,num,1,,,83870962.0,ns,1808817
Integer-mul,num,1,,,84746198.0,ns,1829608
Integer-mul,num,1,,,86854839.0,ns,1850399
Integer-mul,num,1,,,86545728.0,ns,1871190
Integer-mul,num,1,,,87838030.0,ns,1891981
Integer-mul,num,1,,,88714114.0,ns,1912772
Integer-mul,num,1,,,89189360.0,ns,1933563
Integer-mul,num,1,,,90322141.0,ns,1954354
Integer-mul,num,1,,,91624545.0,ns,1975145
Integer-mul,num,1,,,92381850.0,ns,1995936
Integer-mul,num,1,,,93195739.0,ns,2016727
Integer-mul,num,1,,,93994328.0,ns,2037518
Integer-mul,num,1,,,95252773.0,ns,2058309
Integer-mul,num,1,,,97390421.0,ns,2079100
