group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,inertia,4,,,964887.0,ns,43440
Integer-mul,inertia,4,,,2182257.0,ns,86880
Integer-mul,inertia,4,,,2792307.0,ns,130320
Integer-mul,inertia,4,,,3782202.0,ns,173760
Integer-mul,inertia,4,,,4857592.0,ns,217200
Integer-mul,inertia,4,,,5730732.0,ns,260640
Integer-mul,inertia,4,,,6687865.0,ns,304080
Integer-mul,inertia,4,,,7926779.0,ns,347520
Integer-mul,inertia,4,,,8666261.0,ns,390960
Integer-mul,inertia,4,,,9644570.0,ns,434400
Integer-mul,inertia,4,,,10568251.0,ns,477840
Integer-mul,inertia,4,,,11547073.0,ns,521280
Integer-mul,inertia,4,,,12608958.0,ns,564720
Integer-mul,inertia,4,,,13393231.0,ns,608160
Integer-mul,inertia,4,,,14352982.0,ns,651600
Integer-mul,inertia,4,,,15308438.0,ns,695040
Integer-mul,inertia,4,,,16308087.0,ns,738480
Integer-mul,inertia,4,,,17605262.0,ns,781920
Integer-mul,inertia,4,,,18801072.0,ns,825360
Integer-mul,inertia,4,,,19241018.0,ns,868800
Integer-mul,inertia,4,,,20075025.0,ns,912240
Integer-mul,inertia,4,,,21560429.0,ns,955680
Integer-mul,inertia,4,,,22024524.0,ns,999120
Integer-mul,inertia,4,,,23163682.0,ns,1042560
Integer-mul,inertia,4,,,24001439.0,ns,1086000
Integer-mul,inertia,4,,,24866980.0,ns,1129440
Integer-mul,inertia,4,,,25992556.0,ns,1172880
Integer-mul,inertia,4,,,26785862.0,ns,1216320
Integer-mul,inertia,4,,,27735534.0,ns,1259760
Integer-mul,inertia,4,,,28942526.0,ns,1303200
Integer-mul,inertia,4,,,29986531.0,ns,1346640
Integer-mul,inertia,4,,,30867227.0,ns,1390080
Integer-mul,inertia,4,,,31822243.0,ns,1433520
Integer-mul,inertia,4,,,33306723.0,ns,1476960
Integer-mul,inertia,4,,,33923590.0,ns,1520400
Integer-mul,inertia,4,,,34564330.0,ns,1563840
Integer-mul,inertia,4,,,35573531.0,ns,1607280
Integer-mul,inertia,4,,,36339583.0,ns,1650720
Integer-mul,inertia,4,,,37472823.0,ns,1694160
Integer-mul,inertia,4,,,38599024.0,ns,1737600
Integer-mul,inertia,4,,,39599847.0,ns,1781040
Integer-mul,inertia,4,,,40270147.0,ns,1824480
Integer-mul,inertia,4,,,41252967.0,ns,1867920
Integer-mul,inertia,4,,,42904978.0,ns,1911360
Integer-mul,inertia,4,,,43029719.0,ns,1954800
Integer-mul,inertia,4,,,44167091.0,ns,1998240
Integer-mul,inertia,4,,,45129520.0,ns,2041680
Integer-mul,inertia,4,,,46304536.0,ns,2085120
Integer-mul,inertia,4,,,47093758.0,ns,2128560
Integer-mul,inertia,4,,,48325001.0,ns,2172000
Integer-mul,inertia,4,,,49019242.0,ns,2215440
Integer-mul,inertia,4,,,50136971.0,ns,2258880
Integer-mul,inertia,4,,,51294833.0,ns,2302320
Integer-mul,inertia,4,,,52329807.0,ns,2345760
Integer-mul,inertia,4,,,52985678.0,ns,2389200
Integer-mul,inertia,4,,,53963374.0,ns,2432640
Integer-mul,inertia,4,,,54718596.0,ns,2476080
Integer-mul,inertia,4,,,56057504.0,ns,2519520
Integer-mul,inertia,4,,,56388225.0,ns,2562960
Integer-mul,inertia,4,,,57708001.0,ns,2606400
Integer-mul,inertia,4,,,58611324.0,ns,2649840
Integer-mul,inertia,4,,,59440188.0,ns,2693280
Integer-mul,inertia,4,,,60749889.0,ns,2736720
Integer-mul,inertia,4,,,61984312.0,ns,2780160
Integer-mul,inertia,4,,,62443986.0,ns,2823600
Integer-mul,inertia,4,,,64194405.0,ns,2867040
Integer-mul,inertia,4,,,64860785.0,ns,2910480
Integer-mul,inertia,4,,,65549737.0,ns,2953920
Integer-mul,inertia,4,,,66236098.0,ns,2997360
Integer-mul,inertia,4,,,67089712.0,ns,3040800
Integer-mul,inertia,4,,,68469919.0,ns,3084240
Integer-mul,inertia,4,,,69046092.0,ns,3127680
Integer-mul,inertia,4,,,70873107.0,ns,3171120
Integer-mul,inertia,4,,,71080659.0,ns,3214560
Integer-mul,inertia,4,,,72858109.0,ns,3258000
Integer-mul,inertia,4,,,73407052.0,ns,3301440
Integer-mul,inertia,4,,,74344556.0,ns,3344880
Integer-mul,inertia,4,,,75706144.0,ns,3388320
Integer-mul,inertia,4,,,75735908.0,ns,3431760
Integer-mul,inertia,4,,,77151403.0,ns,3475200
Integer-mul,inertia,4,,,78212844.0,ns,3518640
Integer-mul,inertia,4,,,78635758.0,ns,3562080
Integer-mul,inertia,4,,,79541827.0,ns,3605520
Integer-mul,inertia,4,,,80605547.0,ns,3648960
Integer-mul,inertia,4,,,82738181.0,ns,3692400
Integer-mul,inertia,4,,,82332143.0,ns,3735840
Integer-mul,inertia,4,,,83315796.0,ns,3779280
Integer-mul,inertia,4,,,84721146.0,ns,3822720
Integer-mul,inertia,4,,,85598611.0,ns,3866160
Integer-mul,inertia,4,,,86542388.0,ns,3909600
Integer-mul,inertia,4,,,87114631.0,ns,3953040
Integer-mul,inertia,4,,,89185012.0,ns,3996480
Integer-mul,inertia,4,,,89650847.0,ns,4039920
Integer-mul,inertia,4,,,90656977.0,ns,4083360
Integer-mul,inertia,4,,,91008883.0,ns,4126800
Integer-mul,inertia,4,,,91949157.0,ns,4170240
Integer-mul,inertia,4,,,93064766.0,ns,4213680
Integer-mul,inertia,4,,,93973021.0,ns,4257120
Integer-mul,inertia,4,,,95074338.0,ns,4300560
Integer-mul,inertia,4,,,95703451.0,ns,4344000
